@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
160,'2023/06/09 11:28:41:864',2,0,1023,1,1,0
161,'2023/06/09 11:28:41:873',2,0,1023,1,1,0
162,'2023/06/09 11:28:41:881',2,0,1023,1,1,0
163,'2023/06/09 11:28:41:890',2,0,1023,1,1,0
164,'2023/06/09 11:28:41:900',2,0,1023,1,1,0
165,'2023/06/09 11:28:42:114',2,0,1023,1,1,0
166,'2023/06/09 11:28:42:115',2,0,1023,1,1,0
167,'2023/06/09 11:28:42:131',2,0,1023,1,1,0
168,'2023/06/09 11:28:42:139',2,0,1023,1,1,0
169,'2023/06/09 11:28:42:147',2,0,1023,1,1,0
170,'2023/06/09 11:28:42:157',2,0,1023,1,1,0
171,'2023/06/09 11:28:42:167',2,0,1023,1,1,0
172,'2023/06/09 11:28:42:381',2,0,1023,1,1,0
173,'2023/06/09 11:28:42:381',2,0,1023,1,1,0
174,'2023/06/09 11:28:42:399',2,0,1023,1,1,0
175,'2023/06/09 11:28:42:405',2,0,1023,1,1,0
176,'2023/06/09 11:28:42:413',2,0,1023,1,1,0
177,'2023/06/09 11:28:42:424',2,0,1023,1,1,0
178,'2023/06/09 11:28:42:438',2,0,1023,1,1,0
179,'2023/06/09 11:28:42:639',2,0,1023,1,1,0
180,'2023/06/09 11:28:42:639',2,0,1023,1,1,0
181,'2023/06/09 11:28:42:655',2,0,1023,1,1,0
182,'2023/06/09 11:28:42:663',2,0,1023,1,1,0
183,'2023/06/09 11:28:42:673',2,0,1023,1,1,0
184,'2023/06/09 11:28:42:681',2,0,1023,1,1,0
185,'2023/06/09 11:28:42:690',2,0,1023,1,1,0
186,'2023/06/09 11:28:42:704',2,0,1023,1,1,0
187,'2023/06/09 11:28:42:905',2,0,1023,1,1,0
188,'2023/06/09 11:28:42:906',2,0,1023,1,1,0
189,'2023/06/09 11:28:42:924',2,0,1023,1,1,0
190,'2023/06/09 11:28:42:929',2,0,1023,1,1,0
191,'2023/06/09 11:28:42:938',2,0,1023,1,1,0
192,'2023/06/09 11:28:42:947',2,0,1023,1,1,0
193,'2023/06/09 11:28:42:957',2,0,1023,1,1,0
194,'2023/06/09 11:28:43:170',2,0,1023,1,1,0
195,'2023/06/09 11:28:43:171',2,0,1023,1,1,0
196,'2023/06/09 11:28:43:195',2,0,1023,1,1,0
197,'2023/06/09 11:28:43:196',2,0,1023,1,1,0
198,'2023/06/09 11:28:43:212',2,0,1023,1,1,0
199,'2023/06/09 11:28:43:220',2,0,1023,1,1,0
200,'2023/06/09 11:28:43:228',2,0,1023,1,1,0
201,'2023/06/09 11:29:31:234',3,446,1023,0.5,0.5,0
202,'2023/06/09 11:29:31:235',3,446,1023,0.5,0.5,0
203,'2023/06/09 11:29:31:276',3,447,1023,0.5,0.5,0
204,'2023/06/09 11:29:31:276',3,447,1023,0.5,0.5,0
205,'2023/06/09 11:29:31:370',3,446,1023,0.5,0.5,0
206,'2023/06/09 11:29:31:371',3,446,1023,0.5,0.5,0
207,'2023/06/09 11:29:31:390',3,446,1023,0.5,0.5,0
208,'2023/06/09 11:29:31:391',3,446,1023,0.5,0.5,0
209,'2023/06/09 11:29:31:505',3,446,1023,0.5,0.5,0
210,'2023/06/09 11:29:31:506',3,446,1023,0.5,0.5,0
211,'2023/06/09 11:29:31:527',3,446,1023,0.5,0.5,0
212,'2023/06/09 11:29:31:528',3,446,1023,0.5,0.5,0
213,'2023/06/09 11:29:31:546',3,446,1023,0.5,0.5,0
214,'2023/06/09 11:29:31:550',3,446,1023,0.5,0.5,0
215,'2023/06/09 11:29:31:640',3,446,1023,0.5,0.5,0
216,'2023/06/09 11:29:31:641',3,446,1023,0.5,0.5,0
217,'2023/06/09 11:29:31:660',3,446,1023,0.5,0.5,0
218,'2023/06/09 11:29:31:661',3,446,1023,0.5,0.5,0
219,'2023/06/09 11:29:31:683',3,446,1023,0.5,0.5,0
220,'2023/06/09 11:29:31:683',3,446,1023,0.5,0.5,0
221,'2023/06/09 11:29:31:754',3,447,1023,0.5,0.5,0
222,'2023/06/09 11:29:31:755',3,447,1023,0.5,0.5,0
223,'2023/06/09 11:29:31:775',3,447,1023,0.5,0.5,0
224,'2023/06/09 11:29:31:776',3,447,1023,0.5,0.5,0
225,'2023/06/09 11:29:31:795',3,447,1023,0.5,0.5,0
226,'2023/06/09 11:29:31:796',3,447,1023,0.5,0.5,0
227,'2023/06/09 11:29:31:816',3,446,1023,0.5,0.5,0
228,'2023/06/09 11:29:31:817',3,446,1023,0.5,0.5,0
229,'2023/06/09 11:29:31:890',3,447,1023,0.5,0.5,0
230,'2023/06/09 11:29:31:891',3,447,1023,0.5,0.5,0
231,'2023/06/09 11:29:31:910',3,446,1023,0.5,0.5,0
232,'2023/06/09 11:29:31:911',3,446,1023,0.5,0.5,0
233,'2023/06/09 11:29:31:933',3,446,1023,0.5,0.5,0
234,'2023/06/09 11:29:31:934',3,446,1023,0.5,0.5,0
235,'2023/06/09 11:29:31:951',3,446,1023,0.5,0.5,0
236,'2023/06/09 11:29:32:025',3,447,1023,0.5,0.5,0
237,'2023/06/09 11:29:32:027',3,447,1023,0.5,0.5,0
238,'2023/06/09 11:29:32:046',3,446,1023,0.5,0.5,0
239,'2023/06/09 11:29:32:046',3,446,1023,0.5,0.5,0
240,'2023/06/09 11:29:32:066',3,446,1023,0.5,0.5,0
241,'2023/06/09 11:29:32:067',3,446,1023,0.5,0.5,0
242,'2023/06/09 11:29:32:160',3,446,1023,0.5,0.5,0
243,'2023/06/09 11:29:32:160',3,446,1023,0.5,0.5,0
244,'2023/06/09 11:29:32:201',3,447,1023,0.5,0.5,0
245,'2023/06/09 11:29:32:202',3,447,1023,0.5,0.5,0
246,'2023/06/09 11:29:32:295',3,446,1023,0.5,0.5,0
247,'2023/06/09 11:29:32:296',3,446,1023,0.5,0.5,0
248,'2023/06/09 11:29:32:316',3,446,1023,0.5,0.5,0
249,'2023/06/09 11:29:32:317',3,446,1023,0.5,0.5,0
